Degree_ID,Degree_Payment_ID,Degree_Pay_IntakeID,Degree_Payment_AddByID,Degree_Payment_Year,Degree_Payment_Amount,Degree_Payment_TimeStamp,Degree_Payment_IsDeleted
28,1135,19,1,3,250000.00,2019-05-08 14:37:14,0
28,1136,19,1,4,250000.00,2019-05-08 14:37:14,0
29,1137,19,1,1,200000.00,2019-05-08 14:38:27,0
29,1138,19,1,2,200000.00,2019-05-08 14:38:27,0
30,1139,19,1,1,200000.00,2019-05-08 14:39:52,0
30,1140,19,1,2,200000.00,2019-05-08 14:39:52,0
31,1141,19,1,1,200000.00,2019-05-08 14:29:36,0
31,1142,19,1,2,200000.00,2019-05-08 14:29:36,0
32,1143,19,1,1,200000.00,2019-05-08 14:41:53,0
32,1144,19,1,2,200000.00,2019-05-08 14:41:53,0
33,1145,19,1,1,200000.00,2019-05-14 13:46:38,0
33,1146,19,1,2,200000.00,2019-05-14 13:46:41,0
33,1147,19,1,3,200000.00,2019-05-14 13:46:43,0
33,1148,19,1,4,200000.00,2019-05-14 13:46:46,0
34,1149,19,1,1,1000000.00,2018-12-05 10:54:42,0
34,1150,19,1,2,1000000.00,2018-12-05 10:54:42,0
34,1151,19,1,3,1000000.00,2018-12-05 10:54:59,0
41,1152,19,1,1,250000.00,2019-05-08 14:43:49,0
41,1153,19,1,2,250000.00,2019-05-08 14:43:49,0
45,1154,19,1,1,800000.00,2019-04-08 11:34:25,0
45,1155,19,1,2,400000.00,2019-04-08 11:34:49,0
45,1156,19,1,3,200000.00,2019-04-08 11:35:24,0
45,1157,19,1,4,200000.00,2019-04-08 11:35:47,0
46,1158,19,1,1,800000.00,2019-04-08 11:36:20,0
46,1159,19,1,2,400000.00,2019-04-08 11:36:37,0
46,1160,19,1,3,200000.00,2019-04-08 11:36:58,0
46,1161,19,1,4,200000.00,2019-04-08 11:37:16,0
47,1162,19,1,1,600000.00,2019-04-08 11:38:08,0
47,1163,19,1,2,300000.00,2019-04-08 11:38:39,0
47,1164,19,1,3,300000.00,2019-04-08 11:39:07,0
48,1165,19,1,1,600000.00,2019-04-08 11:39:42,0
48,1166,19,1,2,300000.00,2019-04-08 11:40:10,0
48,1167,19,1,3,300000.00,2019-04-08 11:40:36,0
49,1168,19,1,1,600000.00,2019-04-08 11:59:02,0
49,1169,19,1,2,300000.00,2019-04-08 11:59:23,0
49,1170,19,1,3,300000.00,2019-04-08 11:59:42,0
50,1171,19,1,1,800000.00,2019-06-13 14:26:50,0
50,1172,19,1,2,800000.00,2019-06-13 14:26:50,0
50,1173,19,1,3,800000.00,2019-06-13 14:26:50,0
50,1174,19,1,4,800000.00,2019-06-13 14:26:50,0
52,1175,19,1,1,900000.00,2019-07-12 00:33:49,0
52,1176,19,1,2,900000.00,2019-07-12 00:33:49,0
52,1177,19,1,3,900000.00,2019-07-12 00:33:49,0
52,1178,19,1,4,900000.00,2019-07-12 00:33:49,0
53,1179,19,1,1,1200000.00,2018-12-05 10:56:42,0
53,1180,19,1,2,1200000.00,2018-12-05 10:56:42,0
53,1181,19,1,3,1200000.00,2018-12-05 10:57:15,0
53,1182,19,1,4,1200000.00,2018-12-05 10:57:15,0
54,1183,19,1,1,1200000.00,2018-12-05 10:56:42,0
54,1184,19,1,2,1200000.00,2018-12-05 10:56:42,0
54,1185,19,1,3,1200000.00,2018-12-05 10:57:15,0
54,1186,19,1,4,1200000.00,2018-12-05 10:57:15,0
1,1188,20,1,1,800000.00,2018-12-05 10:33:04,0
1,1189,20,1,2,800000.00,2018-12-05 10:33:04,0
1,1190,20,1,3,800000.00,2018-12-05 10:35:24,0
1,1191,20,1,4,800000.00,2018-12-05 10:35:24,0
5,1192,20,1,1,800000.00,2018-12-05 10:37:57,0
5,1193,20,1,2,800000.00,2018-12-05 10:37:57,0
5,1194,20,1,3,800000.00,2018-12-05 10:39:01,0
5,1195,20,1,4,800000.00,2018-12-05 10:39:01,0
6,1196,20,1,1,1000000.00,2018-12-05 10:51:08,0
6,1197,20,1,2,1000000.00,2018-12-05 10:51:08,0
6,1198,20,1,3,1000000.00,2018-12-05 10:51:32,0
7,1199,20,1,1,900000.00,2018-12-05 10:35:43,0
7,1200,20,1,2,900000.00,2018-12-05 10:35:43,0
7,1201,20,1,3,840000.00,2018-12-05 10:37:17,0
7,1202,20,1,4,840000.00,2018-12-05 10:37:17,0
8,1203,20,1,1,900000.00,2018-12-05 10:39:43,0
8,1204,20,1,2,900000.00,2018-12-05 10:39:43,0
8,1205,20,1,3,840000.00,2018-12-05 10:41:28,0
8,1206,20,1,4,840000.00,2018-12-05 10:41:28,0
9,1207,20,1,1,1100000.00,2018-12-05 10:48:05,0
9,1208,20,1,2,1100000.00,2018-12-05 10:48:05,0
