id,user_id,paid_amt,degree_id,intake_id,no_of_paid,non_paid_amt,no_of_nonpaid,myear,degree,intake,faculty,semester,no_of_std,offered_by,start_date,semester_fee,deadline_year,deadline_date,deadline_month,total_cash_flow
13325,113,252781,15,16,1,247219,1,Year 03,BSc (Honours) Business Communication,2019.2,Faculty Of Business,Semester 01,2,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,500000
13326,113,250000,15,12,1,500000,2,Year 03,BSc (Honours) Business Communication,2019.1,Faculty Of Business,Semester 01,3,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,750000
13327,113,500000,12,16,2,5000000,20,Year 03,BSc (Honours) Marketing Management,2019.2,Faculty Of Business,Semester 01,22,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,5500000
13328,113,250000,12,12,1,2000000,8,Year 03,BSc (Honours) Marketing Management,2019.1,Faculty Of Business,Semester 01,9,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,2250000
13329,113,2500000,14,16,9,16750000,68,Year 03,"BSc (Honours) Events, Tourism and Hospitality Management",2019.2,Faculty Of Business,Semester 01,77,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,19250000
13330,113,500000,13,16,2,11750000,47,Year 03,BSc (Honours) Operations and Logistics Management,2019.2,Faculty Of Business,Semester 01,49,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,12250000
13331,113,2500000,13,12,10,11250000,45,Year 03,BSc (Honours) Operations and Logistics Management,2019.1,Faculty Of Business,Semester 01,55,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,13750000
13332,113,2750000,11,16,11,6750000,27,Year 03,BSc (Honours) Accounting and Finance,2019.2,Faculty Of Business,Semester 01,38,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,9500000
13333,113,1935000,14,12,7,14815000,60,Year 03,"BSc (Honours) Events, Tourism and Hospitality Management",2019.1,Faculty Of Business,Semester 01,67,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,16750000
13334,113,2750000,14,19,11,17500000,70,Year 02,"BSc (Honours) Events, Tourism and Hospitality Management",2020.1,Faculty Of Business,Semester 01,81,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,20250000
13335,113,2499901,12,19,10,3000099,12,Year 02,BSc (Honours) Marketing Management,2020.1,Faculty Of Business,Semester 01,22,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,5500000
13336,113,9255000,10,19,37,25745000,103,Year 02,BSc (Honours) International Management  and Business,2020.1,Faculty Of Business,Semester 01,140,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,35000000
13337,113,3250000,11,19,13,5750000,23,Year 02,BSc (Honours) Accounting and Finance,2020.1,Faculty Of Business,Semester 01,36,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,9000000
13338,113,4000000,13,19,16,9750000,39,Year 02,BSc (Honours) Operations and Logistics Management,2020.1,Faculty Of Business,Semester 01,55,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,13750000
13339,113,1000000,15,19,4,750000,3,Year 02,BSc (Honours) Business Communication,2020.1,Faculty Of Business,Semester 01,7,Plymouth University,2021-08-02,250000,2021,2021-07-19,7,1750000
13340,113,0,13,20,0,1500000,6,Year 02,BSc (Honours) Operations and Logistics Management,2020.2,Faculty Of Business,Semester 01,6,Plymouth University,2021-08-16,250000,2021,2021-08-02,8,1500000
13341,113,0,12,20,0,750000,3,Year 02,BSc (Honours) Marketing Management,2020.2,Faculty Of Business,Semester 01,3,Plymouth University,2021-08-16,250000,2021,2021-08-02,8,750000
