id,umisid,paymentid,feetype,offering
1112,NULL,64578,Foundation Fee,NULL
1113,NULL,64640,Foundation Fee,NULL
1114,NULL,64714,Foundation Fee,NULL
1115,NULL,64728,Foundation Fee,NULL
1116,NULL,64933,Foundation Fee,NULL
1117,NULL,64973,Foundation Fee,NULL
1118,NULL,65081,Foundation Fee,NULL
1119,NULL,65082,Foundation Fee,NULL
1120,NULL,65165,Foundation Fee,NULL
1121,NULL,65326,Foundation Fee,NULL
1122,NULL,65332,Foundation Fee,NULL
1123,NULL,65369,Foundation Fee,NULL
1124,NULL,65382,Foundation Fee,NULL
1125,NULL,65451,Foundation Fee,NULL
1126,NULL,65491,Foundation Fee,NULL
1127,NULL,65646,Foundation Fee,NULL
1128,NULL,65681,Foundation Fee,NULL
1129,NULL,65871,Foundation Fee,NULL
1130,NULL,65934,Foundation Fee,NULL
1131,NULL,65948,Foundation Fee,NULL
1132,NULL,66115,Foundation Fee,NULL
1133,NULL,66306,Foundation Fee,NULL
1134,NULL,66539,Foundation Fee,NULL
1135,NULL,66758,Foundation Fee,NULL
1136,NULL,67274,Foundation Fee,NULL
1137,NULL,69713,Foundation Fee,NULL
1138,NULL,70651,Foundation Fee,NULL
1139,NULL,70779,Foundation Fee,NULL
1140,NULL,70812,Foundation Fee,NULL
1141,NULL,70859,Foundation Fee,NULL
1142,NULL,70926,Foundation Fee,NULL
1143,NULL,71017,Foundation Fee,NULL
1144,NULL,71091,Foundation Fee,NULL
1145,NULL,71166,Foundation Fee,NULL
1146,NULL,71249,Foundation Fee,NULL
1147,NULL,71265,Foundation Fee,NULL
1148,NULL,71274,Foundation Fee,NULL
1149,NULL,71355,Foundation Fee,NULL
1150,NULL,71569,Foundation Fee,NULL
1151,NULL,71640,Foundation Fee,NULL
1152,NULL,71663,Foundation Fee,NULL
1153,NULL,71700,Foundation Fee,NULL
1154,NULL,71943,Foundation Fee,NULL
1155,NULL,72032,Foundation Fee,NULL
1156,NULL,72052,Foundation Fee,NULL
1157,NULL,72057,Foundation Fee,NULL
1158,NULL,72065,Foundation Fee,NULL
1159,NULL,72335,Foundation Fee,NULL
1160,NULL,72365,Foundation Fee,NULL
1161,NULL,72405,Foundation Fee,NULL
1162,NULL,72408,Foundation Fee,NULL
1163,NULL,72575,Foundation Fee,NULL
1164,NULL,72585,Foundation Fee,NULL
1165,NULL,72596,Foundation Fee,NULL
1166,NULL,72631,Foundation Fee,NULL
1167,NULL,72673,Foundation Fee,NULL
1168,NULL,72677,Foundation Fee,NULL
1169,NULL,72773,Foundation Fee,NULL
1170,NULL,72788,Foundation Fee,NULL
1171,NULL,72867,Foundation Fee,NULL
1172,NULL,72901,Foundation Fee,NULL
1173,NULL,72903,Foundation Fee,NULL
1174,NULL,72955,Foundation Fee,NULL
1175,NULL,72967,Foundation Fee,NULL
1176,NULL,73005,Foundation Fee,NULL
1177,NULL,73009,Foundation Fee,NULL
1178,NULL,73027,Foundation Fee,NULL
1179,NULL,73047,Foundation Fee,NULL
1180,NULL,73080,Foundation Fee,NULL
1181,NULL,73082,Foundation Fee,NULL
1182,NULL,73107,Foundation Fee,NULL
1183,NULL,73133,Foundation Fee,NULL
1184,NULL,73137,Foundation Fee,NULL
1185,NULL,73184,Foundation Fee,NULL
1186,NULL,73206,Foundation Fee,NULL
1187,NULL,73238,Foundation Fee,NULL
1188,NULL,73246,Foundation Fee,NULL
1189,NULL,73261,Foundation Fee,NULL
1190,NULL,73265,Foundation Fee,NULL
1191,NULL,73314,Foundation Fee,NULL
1192,NULL,73329,Foundation Fee,NULL
1193,NULL,73330,Foundation Fee,NULL
1194,NULL,73376,Foundation Fee,NULL
1195,NULL,73377,Foundation Fee,NULL
1196,NULL,73379,Foundation Fee,NULL
1197,NULL,73385,Foundation Fee,NULL
1198,NULL,73386,Foundation Fee,NULL
1199,NULL,73409,Foundation Fee,NULL
1200,NULL,73431,Foundation Fee,NULL
1201,NULL,73447,Foundation Fee,NULL
1202,NULL,73452,Foundation Fee,NULL
1203,NULL,73463,Foundation Fee,NULL
1204,NULL,73474,Foundation Fee,NULL
1205,NULL,73480,Foundation Fee,NULL
1206,NULL,73487,Foundation Fee,NULL
1207,NULL,73500,Foundation Fee,NULL
1208,NULL,73548,Foundation Fee,NULL
1209,NULL,73554,Foundation Fee,NULL
1210,NULL,73567,Foundation Fee,NULL
1211,NULL,73631,Foundation Fee,NULL
1212,NULL,73634,Foundation Fee,NULL
1213,NULL,73663,Foundation Fee,NULL
1214,NULL,73674,Foundation Fee,NULL
1215,NULL,73741,Foundation Fee,NULL
1216,NULL,73773,Foundation Fee,NULL
1217,NULL,73787,Foundation Fee,NULL
1218,NULL,73916,Foundation Fee,NULL
1219,NULL,73944,Foundation Fee,NULL
1220,NULL,74016,Foundation Fee,NULL
1221,NULL,74051,Foundation Fee,NULL
1222,NULL,74126,Foundation Fee,NULL
1223,NULL,74368,Foundation Fee,NULL
1224,NULL,74426,Foundation Fee,NULL
1225,NULL,74462,Foundation Fee,NULL
1226,NULL,74563,Foundation Fee,NULL
1227,NULL,74588,Foundation Fee,NULL
1228,NULL,74762,Foundation Fee,NULL
1229,NULL,74788,Foundation Fee,NULL
1230,NULL,74853,Foundation Fee,NULL
1231,NULL,74884,Foundation Fee,NULL
1232,NULL,74938,Foundation Fee,NULL
1233,NULL,75248,Foundation Fee,NULL
1234,NULL,75431,Foundation Fee,NULL
1235,NULL,75438,Foundation Fee,NULL
1236,NULL,75490,Foundation Fee,NULL
1237,NULL,75518,Foundation Fee,NULL
1238,NULL,75520,Foundation Fee,NULL
1239,NULL,75612,Foundation Fee,NULL
1240,NULL,75657,Foundation Fee,NULL
1241,NULL,75740,Foundation Fee,NULL
1242,NULL,75766,Foundation Fee,NULL
1243,NULL,75808,Foundation Fee,NULL
1244,NULL,75827,Foundation Fee,NULL
1245,NULL,75893,Foundation Fee,NULL
1246,NULL,75900,Foundation Fee,NULL
1247,NULL,75904,Foundation Fee,NULL
1248,NULL,76017,Foundation Fee,NULL
1249,NULL,76120,Foundation Fee,NULL
1250,NULL,76220,Foundation Fee,NULL
1251,NULL,76238,Foundation Fee,NULL
1252,NULL,76286,Foundation Fee,NULL
1253,NULL,76292,Foundation Fee,NULL
1254,NULL,76331,Foundation Fee,NULL
1255,NULL,76339,Foundation Fee,NULL
1256,NULL,76361,Foundation Fee,NULL
1257,NULL,76380,Foundation Fee,NULL
1258,NULL,76397,Foundation Fee,NULL
1259,NULL,76438,Foundation Fee,NULL
1260,NULL,76503,Foundation Fee,NULL
1261,NULL,76565,Foundation Fee,NULL
1262,NULL,76603,Foundation Fee,NULL
1263,NULL,76613,Foundation Fee,NULL
1264,NULL,76618,Foundation Fee,NULL
1265,NULL,76655,Foundation Fee,NULL
1266,NULL,76681,Foundation Fee,NULL
1267,NULL,76697,Foundation Fee,NULL
1268,NULL,76732,Foundation Fee,NULL
1269,NULL,76733,Foundation Fee,NULL
1270,NULL,76734,Foundation Fee,NULL
1271,NULL,76743,Foundation Fee,NULL
1272,NULL,76759,Foundation Fee,NULL
1273,NULL,76768,Foundation Fee,NULL
1274,NULL,76795,Foundation Fee,NULL
1275,NULL,76839,Foundation Fee,NULL
1276,NULL,77154,Foundation Fee,NULL
1277,NULL,77155,Foundation Fee,NULL
1278,NULL,77423,Foundation Fee,NULL
1279,NULL,77434,Foundation Fee,NULL
